model,R2,RMSE,epochs,seed
h dynamic 20,0.7048970460891724,2.4598984718322754,1481,70291817
h dynamic 20,0.7136713862419128,2.4230523109436035,1495,89089901
h dynamic 20,0.6805006265640259,2.559560775756836,1658,47338124
h dynamic 20,0.7121858596801758,2.4293296337127686,1172,10872248
h dynamic 30,0.697019100189209,2.49251651763916,1393,95822412
h dynamic 30,0.6943732500076294,2.5033762454986572,1834,24942603
h dynamic 30,0.6672974824905396,2.6119115352630615,1144,13356886
h dynamic 30,0.6754946112632751,2.5795347690582275,1004,46913810
h dynamic 30,0.6719774007797241,2.5934765338897705,1654,42868828
h dynamic 30,0.6356632709503174,2.7332658767700195,1206,39958838
h dynamic 30,0.6450599431991577,2.6977884769439697,1779,28728463
h dynamic 30,0.6945110559463501,2.5028116703033447,1571,23756669
h dynamic 30,0.6652171015739441,2.6200649738311768,1308,83197857
h dynamic 30,0.6524942517280579,2.669386148452759,1530,21668732
h dynamic 30,0.6946269273757935,2.5023369789123535,1470,89254563
h dynamic 30,0.7114838361740112,2.43229079246521,1286,66629388
h dynamic 30,0.6724305152893066,2.591684341430664,1276,14265799
h dynamic 30,0.7186570167541504,2.4018640518188477,2000,13999315
h dynamic 30,0.7048896551132202,2.4599294662475586,887,22575562
h dynamic 30,0.7169415950775146,2.4091756343841553,775,39345092
h dynamic 30,0.6535812616348267,2.665207862854004,2953,41227216
h dynamic 30,0.6530600786209106,2.6672120094299316,1817,77827638
h dynamic 30,0.6346603631973267,2.737025260925293,934,90801586
h dynamic 30,0.6292388439178467,2.757258653640747,1335,13561597
h dynamic 30,0.7037630081176758,2.464620590209961,1771,85329037
h dynamic 30,0.6926953792572021,2.5102384090423584,1051,36687537
h dynamic 30,0.6629394292831421,2.628962516784668,1519,97226012
h dynamic 30,0.6896680593490601,2.5225725173950195,944,83140807
h dynamic 30,0.67750084400177,2.5715484619140625,1377,66306997
h dynamic 30,0.6510655879974365,2.674867630004883,1001,39587039
h dynamic 30,0.6193719506263733,2.7937066555023193,738,70291817
h dynamic 30,0.678115725517273,2.5690958499908447,2262,89089901
h dynamic 30,0.6545860767364502,2.6613399982452393,1029,47338124
h dynamic 30,0.6862996816635132,2.5362257957458496,721,10872248
h dynamic 50,0.6829992532730103,2.549532651901245,1092,95822412
h dynamic 50,0.6737890243530273,2.5863049030303955,972,24942603
h dynamic 50,0.688083827495575,2.529003143310547,931,13356886
h dynamic 50,0.684890627861023,2.54191517829895,1589,46913810
h dynamic 50,0.6842026114463806,2.5446887016296387,1169,42868828
h dynamic 50,0.6028845906257629,2.853571653366089,1047,39958838
h dynamic 50,0.6847148537635803,2.5426242351531982,1544,28728463
h dynamic 50,0.6727257370948792,2.5905163288116455,1097,23756669
h dynamic 50,0.6631163358688354,2.628272533416748,1278,83197857
h dynamic 50,0.6538259387016296,2.664266586303711,1169,21668732
h dynamic 50,0.7118013501167297,2.4309520721435547,1963,89254563
h dynamic 50,0.6930710673332214,2.5087034702301025,1473,66629388
h dynamic 50,0.6644154787063599,2.623199939727783,2045,14265799
h dynamic 50,0.6991833448410034,2.483598232269287,963,13999315
h dynamic 50,0.6316283941268921,2.748359203338623,1737,22575562
h dynamic 50,0.688260018825531,2.5282886028289795,1216,39345092
h dynamic 50,0.6886377334594727,2.526756525039673,1122,41227216
h dynamic 50,0.663206934928894,2.6279189586639404,931,77827638
h dynamic 50,0.6939650774002075,2.505047082901001,1706,90801586
h dynamic 50,0.6411293745040894,2.7126851081848145,735,13561597
h dynamic 50,0.7049950361251831,2.4594900608062744,1118,85329037
h dynamic 50,0.6838719248771667,2.546020746231079,1231,36687537
h dynamic 50,0.6840152740478516,2.545443296432495,845,97226012
h dynamic 50,0.7031335234642029,2.467237710952759,2000,83140807
h dynamic 50,0.6860485672950745,2.537240505218506,1164,66306997
h dynamic 50,0.6248264312744141,2.7736172676086426,817,39587039
h dynamic 50,0.6897151470184326,2.52238130569458,1170,70291817
h dynamic 50,0.6732498407363892,2.5884413719177246,1636,89089901
h dynamic 50,0.6728606224060059,2.589982271194458,1616,47338124
h dynamic 50,0.7147058248519897,2.418671131134033,1084,10872248
