model,acc,precision,recall,F1,epochs,seed
patience dynamic 05,0.7132867132867133,0.704208512673362,0.6752873563218391,0.6801941853488245,137,97226012
patience dynamic 05,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,256,83140807
patience dynamic 05,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,162,66306997
patience dynamic 05,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,320,39587039
patience dynamic 05,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,456,70291817
patience dynamic 05,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,146,89089901
patience dynamic 05,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,286,47338124
patience dynamic 05,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,138,10872248
patience dynamic 10,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,266,95822412
patience dynamic 10,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,291,24942603
patience dynamic 10,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,344,13356886
patience dynamic 10,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,231,46913810
patience dynamic 10,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,312,42868828
patience dynamic 10,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,241,39958838
patience dynamic 10,0.6713286713286714,0.6551504334523202,0.6248973727422003,0.6255501699259012,191,28728463
patience dynamic 10,0.6923076923076923,0.6868591473286563,0.6421387520525452,0.6433106575963718,301,23756669
patience dynamic 10,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,231,83197857
patience dynamic 10,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,331,21668732
patience dynamic 10,0.6853146853146853,0.671474358974359,0.6427545155993432,0.6453568476164233,182,89254563
patience dynamic 10,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,246,66629388
patience dynamic 10,0.6923076923076923,0.6838006230529594,0.645320197044335,0.6474675033617212,171,14265799
patience dynamic 10,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,271,13999315
patience dynamic 10,0.6923076923076923,0.6767676767676767,0.6580459770114943,0.6617204301075269,171,22575562
patience dynamic 10,0.6923076923076923,0.6905968468468469,0.6389573070607554,0.6388888888888888,382,39345092
patience dynamic 10,0.6993006993006993,0.6947089947089947,0.6510673234811166,0.6534798534798535,194,41227216
patience dynamic 10,0.7132867132867133,0.7022093023255813,0.6784688013136289,0.6833036244800951,138,77827638
patience dynamic 10,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,291,90801586
patience dynamic 10,0.7132867132867133,0.7098419173890872,0.6689244663382594,0.6733522758928074,171,13561597
patience dynamic 10,0.7062937062937062,0.6967233009708738,0.6663587848932676,0.6707236842105263,151,85329037
patience dynamic 10,0.6783216783216783,0.6704673423423424,0.6242816091954023,0.6224747474747474,124,36687537
patience dynamic 10,0.6993006993006993,0.6871114299378288,0.6606116584564861,0.6645939017073037,171,97226012
patience dynamic 10,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,281,83140807
patience dynamic 10,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,221,66306997
patience dynamic 10,0.6923076923076923,0.6905968468468469,0.6389573070607554,0.6388888888888888,201,39587039
patience dynamic 10,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,179,70291817
patience dynamic 10,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,200,89089901
patience dynamic 10,0.6923076923076923,0.6838006230529594,0.645320197044335,0.6474675033617212,231,47338124
patience dynamic 10,0.6923076923076923,0.6838006230529594,0.645320197044335,0.6474675033617212,171,10872248
patience dynamic 20,0.7062937062937062,0.6967233009708738,0.6663587848932676,0.6707236842105263,162,95822412
patience dynamic 20,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,343,24942603
patience dynamic 20,0.7202797202797203,0.7140776699029125,0.6810344827586207,0.6864035087719298,141,13356886
patience dynamic 20,0.6643356643356644,0.6466770508826584,0.6159688013136289,0.6154190945764231,369,46913810
patience dynamic 20,0.6993006993006993,0.6916114227434982,0.6542487684729064,0.6574182405705054,144,42868828
patience dynamic 20,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,396,39958838
